ContentTypeID	ContentID	TypeOrder	EntryInL1	EntryInL2	Frequency	RecordingFileName
742284	430	0	Turkmenistan			
742540	430	0	Killed			
742796	430	0	three thousands 			
743052	430	0	invitation 			
743308	430	0	horse riding 			
742285	430	0	Armenia			
742541	430	0	Ignorance			
742797	430	0	is held 			
743053	430	0	Moosa Sadr			
743309	430	0	Truthfulness			
742286	430	0	Turkey			
742542	430	0	Ignorance			
742798	430	0	three hundreds 			
743054	430	0	leader 			
743310	430	0	Polo			
742287	430	0	are			
742543	430	0	time			
742799	430	0	they present			
743055	430	0	regime 			
743311	430	0	sports 			
742288	430	0	tourism 			
742544	430	0	loudly 			
742800	430	0	21			
743056	430	0	Zionist			
743312	430	0	weightlifting			
742289	430	0	fifth 			
742545	430	0	conversation			
742801	430	0	March			
743057	430	0	Training			
743313	430	0	Taekwondo			
742290	430	0	attractive 			
742546	430	0	class			
742802	430	0	word			
